#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 13 01 19 00 2 5292.216
2011 03 13 01 18 00 2 5292.224
2011 03 13 01 17 00 2 5292.231
2011 03 13 01 16 00 2 5292.239
2011 03 13 01 15 00 2 5292.244
2011 03 13 01 14 00 2 5292.245
2011 03 13 01 13 00 2 5292.248
2011 03 13 01 12 00 2 5292.251
2011 03 13 01 11 00 2 5292.249
2011 03 13 01 10 00 2 5292.248
2011 03 13 01 09 00 2 5292.250
2011 03 13 01 08 00 2 5292.252
2011 03 13 01 07 00 2 5292.252
2011 03 13 01 06 00 2 5292.255
2011 03 13 01 05 00 2 5292.259
2011 03 13 01 04 00 2 5292.258
2011 03 13 01 03 00 2 5292.260
2011 03 13 01 02 00 2 5292.261
2011 03 13 01 01 00 2 5292.262
2011 03 13 01 00 00 1 5292.265
2011 03 13 00 59 00 2 5292.265
2011 03 13 00 58 00 2 5292.267
2011 03 13 00 57 00 2 5292.274
2011 03 13 00 56 00 2 5292.277
2011 03 13 00 55 00 2 5292.279
2011 03 13 00 54 00 2 5292.280
2011 03 13 00 53 00 2 5292.283
2011 03 13 00 52 00 2 5292.288
2011 03 13 00 51 00 2 5292.295
2011 03 13 00 50 00 2 5292.301
2011 03 13 00 49 00 2 5292.307
2011 03 13 00 48 00 2 5292.315
2011 03 13 00 47 00 2 5292.320
2011 03 13 00 46 00 2 5292.325
2011 03 13 00 45 00 1 5292.328
2011 03 13 00 44 00 2 5292.326
2011 03 13 00 43 00 2 5292.332
2011 03 13 00 42 00 2 5292.334
2011 03 13 00 41 00 2 5292.339
2011 03 13 00 40 00 2 5292.343
2011 03 13 00 39 00 2 5292.344
2011 03 13 00 38 00 2 5292.344
2011 03 13 00 37 00 2 5292.347
2011 03 13 00 36 00 2 5292.352
2011 03 13 00 35 00 2 5292.351
2011 03 13 00 34 00 2 5292.357
2011 03 13 00 33 00 2 5292.360
2011 03 13 00 32 00 2 5292.360
2011 03 13 00 31 00 2 5292.361
2011 03 13 00 30 00 1 5292.364
2011 03 13 00 29 00 2 5292.366
2011 03 13 00 28 00 2 5292.370
2011 03 13 00 27 00 2 5292.372
2011 03 13 00 26 00 2 5292.377
2011 03 13 00 25 00 2 5292.385
2011 03 13 00 24 00 2 5292.385
2011 03 13 00 23 00 2 5292.380
2011 03 13 00 22 00 2 5292.384
2011 03 13 00 21 00 2 5292.395
2011 03 13 00 20 00 2 5292.398
2011 03 13 00 19 00 2 5292.395
2011 03 13 00 18 00 2 5292.393
2011 03 13 00 17 00 2 5292.397
2011 03 13 00 16 00 2 5292.399
2011 03 13 00 15 00 1 5292.400
2011 03 13 00 14 00 2 5292.400
2011 03 13 00 13 00 2 5292.402
2011 03 13 00 12 00 2 5292.409
